series_id,game_id,team_name,side,player_name,alive,participationStatus,agent_raw,hp_bucket,armor_bucket,pos_x,pos_y,region_rc,x_band,y_band,pos_quadrant,weapon_current
2629390,719f343f-e8d5-44de-98c5-e66f04d0f5ab,NRG,attacker,Marved,True,active,viper,damaged,none,2302.81934,5278.53564,R7C1,B1,B7,NW,Operator
2629390,cd0ede88-b842-4de2-ae9f-bb8776a99437,NRG,defender,Demon1,True,active,jett,full,heavy,5926.20898,-7948.6958,R1C6,B6,B1,SE,Sheriff
2629390,cd0ede88-b842-4de2-ae9f-bb8776a99437,NRG,defender,Marved,True,active,omen,full,heavy,5712.97,-7595.30029,R2C5,B5,B2,SE,Phantom
2629390,cd0ede88-b842-4de2-ae9f-bb8776a99437,NRG,defender,Ethan,True,active,kay/o,full,heavy,5011.42432,-5739.74902,R6C1,B1,B6,NW,Vandal
2629390,cd0ede88-b842-4de2-ae9f-bb8776a99437,NRG,defender,crashies,True,active,sova,full,heavy,6031.52783,-8357.88672,R1C7,B7,B1,SE,Odin
2629391,8aacfbab-be97-44f9-bc69-da5c6601062a,Cloud9,attacker,Jakee,True,active,brimstone,damaged,light,11489.8652,-5714.8584,R1C6,B6,B1,SE,Vandal
2629391,8aacfbab-be97-44f9-bc69-da5c6601062a,Cloud9,attacker,vanity,True,active,skye,full,heavy,11297.9,-5142.01123,R1C6,B6,B1,SE,Vandal
2629391,e267ddd1-e28f-48e3-8e83-3fb42a27cc63,MIBR,defender,mazin,True,active,skye,damaged,none,-2219.73706,-6314.39746,R3C1,B1,B3,SW,Vandal
2629391,4a219f17-c477-448a-ad7b-4f77ab033c9c,Cloud9,defender,Jakee,True,active,omen,full,light,6287.81396,-5340.36572,R1C6,B6,B1,SE,Vandal
2629391,4a219f17-c477-448a-ad7b-4f77ab033c9c,Cloud9,defender,vanity,True,active,gekko,damaged,light,5020.86523,-4091.71509,R2C3,B3,B2,SW,Vandal
2629392,dadd1796-2cb3-419b-814b-1260cea71822,LOUD,defender,Saadhak,True,active,skye,full,light,6503.44971,-7939.34619,R1C7,B7,B1,SE,Vandal
2629392,dadd1796-2cb3-419b-814b-1260cea71822,LOUD,defender,tuyz,True,active,omen,full,heavy,4907.17627,-6584.5293,R4C2,B2,B4,SW,Vandal
2629392,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,LOUD,defender,qck1,True,active,phoenix,full,heavy,4183.18115,-5867.85693,R6C8,B8,B6,NE,Vandal
2629392,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,LOUD,defender,cauanzin,True,active,breach,full,heavy,-543.974304,-9379.64453,R1C4,B4,B1,SW,Vandal
2629392,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,LOUD,defender,Saadhak,True,active,kay/o,full,heavy,-4272.59619,-8128.30127,R2C1,B1,B2,SW,Operator
2629392,02a4f2b8-4a3c-4538-8329-0a8c28b0dbb0,LOUD,defender,tuyz,True,active,omen,full,heavy,741.318237,-4128.36963,R8C5,B5,B8,NE,Vandal
2629393,6a2cd9d2-b105-44fc-a573-22daf50c2265,Leviatán Esports,defender,kiNgg,True,active,viper,full,heavy,6147.0708,-2382.33716,R8C1,B1,B8,NW,Shorty
2629393,6a2cd9d2-b105-44fc-a573-22daf50c2265,Leviatán Esports,defender,tex,True,active,gekko,full,heavy,11560.9111,-4799.55322,R4C8,B8,B4,SE,Shorty
2629393,6a2cd9d2-b105-44fc-a573-22daf50c2265,Leviatán Esports,defender,Mazino,True,active,harbor,full,heavy,11308.8428,-6823.6333,R1C8,B8,B1,SE,Shorty
2629393,b1185c74-f70d-413f-a941-9240e9708890,100 Thieves,attacker,Cryo,True,active,astra,full,heavy,-2857.18555,-4463.96875,R3C1,B1,B3,SW,Shorty
2629393,b1185c74-f70d-413f-a941-9240e9708890,100 Thieves,attacker,Boostio,True,active,gekko,full,heavy,-3057.99976,-4257.77197,R4C1,B1,B4,SW,Melee
2629393,b1185c74-f70d-413f-a941-9240e9708890,100 Thieves,attacker,eeiu,True,active,fade,full,heavy,712.696655,-4505.00488,R3C4,B4,B3,SW,Shorty
2629393,c924abac-da36-42b3-b78f-f0c51fdb34f2,Leviatán Esports,attacker,aspas,True,active,reyna,full,heavy,-7015.38672,2043.19189,R3C3,B3,B3,SW,Vandal
2629393,c924abac-da36-42b3-b78f-f0c51fdb34f2,Leviatán Esports,attacker,C0M,True,active,sova,full,light,-7017.99414,1459.60352,R1C3,B3,B1,SW,Vandal
2629393,c924abac-da36-42b3-b78f-f0c51fdb34f2,Leviatán Esports,attacker,kiNgg,True,active,viper,full,heavy,-7845.11328,3910.53711,R8C1,B1,B8,NW,Vandal
2629394,55c2b36a-f81b-4a77-ac8b-4c6bdfa6d498,KRÜ Esports,attacker,Melser,True,active,viper,full,light,-6562.3916,458.6651,R1C3,B3,B1,SW,Vandal
2629394,2ac8ee27-498f-41c4-aa0c-3f9b0090811e,G2 Esports,attacker,neT,True,active,cypher,critical,none,-1306.29211,-5057.88232,R2C2,B2,B2,SW,Vandal
2629394,2ac8ee27-498f-41c4-aa0c-3f9b0090811e,G2 Esports,attacker,leaf,True,active,raze,damaged,none,186.426682,-5649.38574,R1C6,B6,B1,SE,Vandal
2629394,2ac8ee27-498f-41c4-aa0c-3f9b0090811e,G2 Esports,attacker,valyn,True,active,omen,full,light,-1957.24915,-5256.9248,R1C1,B1,B1,SW,Vandal
2629394,2ac8ee27-498f-41c4-aa0c-3f9b0090811e,G2 Esports,attacker,trent,True,active,viper,full,light,-1554.44141,-3738.01562,R5C2,B2,B5,NW,Vandal
2629394,2ac8ee27-498f-41c4-aa0c-3f9b0090811e,G2 Esports,attacker,JonahP,True,active,sova,full,heavy,-1905.12964,-2473.94971,R8C1,B1,B8,NW,Vandal
2629394,96506fbc-7552-493d-bb37-3f6d7fcf6dcb,G2 Esports,attacker,trent,True,active,viper,full,light,-1033.45215,-6580.48877,R7C7,B7,B7,NE,Vandal
2629394,96506fbc-7552-493d-bb37-3f6d7fcf6dcb,G2 Esports,attacker,JonahP,True,active,kay/o,full,heavy,-2018.86511,-8382.44238,R3C4,B4,B3,SW,Vandal
2629395,2cd86d08-a06b-4c0f-b749-a0f2964a68ce,MIBR,attacker,frz,True,active,viper,damaged,none,7780.39941,-7351.1167,R3C7,B7,B3,SE,Phantom
2629395,c771aaf8-c65c-4468-9bf5-7f6530c768f3,MIBR,defender,rglmeister,True,active,viper,full,none,7226.74609,3202.94019,R4C6,B6,B4,SE,Shorty
2629395,c771aaf8-c65c-4468-9bf5-7f6530c768f3,MIBR,defender,frz,True,active,cypher,full,light,5623.44775,452.093048,R1C3,B3,B1,SW,Melee
2629395,c771aaf8-c65c-4468-9bf5-7f6530c768f3,MIBR,defender,mazin,True,active,kay/o,full,light,8857.68457,4026.51831,R5C8,B8,B5,NE,Vandal
2629395,c771aaf8-c65c-4468-9bf5-7f6530c768f3,MIBR,defender,jzz,True,active,sova,full,light,5285.45117,2067.33423,R3C2,B2,B3,SW,Melee
2629396,cfc3a968-84cf-4e7b-a0ea-32b79d993499,Sentinels,defender,TenZ,True,active,omen,full,light,4386.84912,-2558.58276,R8C1,B1,B8,NW,Vandal
2629396,cfc3a968-84cf-4e7b-a0ea-32b79d993499,Sentinels,defender,johnqt,True,active,viper,full,light,5007.0874,-3208.86401,R6C2,B2,B6,NW,Phantom
2629396,cfc3a968-84cf-4e7b-a0ea-32b79d993499,Sentinels,defender,zekken,True,active,raze,critical,none,5425.38867,-4882.40332,R1C3,B3,B1,SW,Melee
2629396,cfc3a968-84cf-4e7b-a0ea-32b79d993499,Sentinels,defender,Sacy,True,active,fade,full,light,5837.13525,-4089.74878,R4C4,B4,B4,SW,Vandal
2629396,e28b9dbd-3643-4e70-a47f-d635be9ce699,100 Thieves,defender,eeiu,True,active,fade,full,heavy,10513.4873,1802.28235,R5C6,B6,B5,NE,Vandal
2629396,e28b9dbd-3643-4e70-a47f-d635be9ce699,100 Thieves,defender,bang,True,active,viper,full,heavy,10212.0059,3058.45703,R8C6,B6,B8,NE,Shorty
2629396,711ae558-0054-4127-96ef-65de99d99673,Sentinels,defender,johnqt,True,active,cypher,full,heavy,3908.13232,-7601.26709,R1C6,B6,B1,SE,Phantom
2629396,711ae558-0054-4127-96ef-65de99d99673,Sentinels,defender,zekken,True,active,raze,full,heavy,3586.27222,-5933.7832,R4C6,B6,B4,SE,Phantom
2629396,711ae558-0054-4127-96ef-65de99d99673,Sentinels,defender,Sacy,True,active,skye,full,heavy,6048.78271,-6163.91748,R4C8,B8,B4,SE,Sheriff
2629398,da54a836-dd47-47d1-a79e-6daa504bdb56,NRG,attacker,Marved,True,active,omen,damaged,none,1945.79468,4365.00439,R5C4,B4,B5,NW,Vandal
2629398,da54a836-dd47-47d1-a79e-6daa504bdb56,NRG,attacker,Ethan,True,active,skye,full,heavy,2325.38892,3983.57739,R4C4,B4,B4,SW,Vandal
2629398,da54a836-dd47-47d1-a79e-6daa504bdb56,NRG,attacker,crashies,True,active,viper,full,heavy,1965.84119,4754.52441,R6C4,B4,B6,NW,Shorty
2629398,da54a836-dd47-47d1-a79e-6daa504bdb56,NRG,attacker,Victor,True,active,cypher,full,heavy,2092.42188,5524.07666,R8C4,B4,B8,NW,Vandal
2629398,23db92c5-dde1-4110-8ca8-2fb0887baea0,NRG,defender,Ethan,True,active,kay/o,full,light,5491.86475,-6950.95166,R1C6,B6,B1,SE,Vandal
2629398,23db92c5-dde1-4110-8ca8-2fb0887baea0,NRG,defender,crashies,True,active,sova,full,heavy,5809.94922,-6911.70264,R1C7,B7,B1,SE,Odin
2629399,ee809db8-0a1e-463f-8d68-61f0befb7d7c,Leviatán Esports,defender,aspas,True,active,raze,full,heavy,11613.8066,-4098.75293,R2C8,B8,B2,SE,Vandal
2629399,ee809db8-0a1e-463f-8d68-61f0befb7d7c,Leviatán Esports,defender,C0M,True,active,skye,full,light,9706.63184,3038.72925,R8C5,B5,B8,NE,Phantom
2629399,ee809db8-0a1e-463f-8d68-61f0befb7d7c,Leviatán Esports,defender,kiNgg,True,active,viper,full,heavy,11494.2031,-5652.44092,R1C8,B8,B1,SE,Shorty
2629399,ee809db8-0a1e-463f-8d68-61f0befb7d7c,Leviatán Esports,defender,tex,True,active,gekko,full,heavy,10803.167,-4250.84863,R2C7,B7,B2,SE,Phantom
2629399,ee809db8-0a1e-463f-8d68-61f0befb7d7c,Leviatán Esports,defender,Mazino,True,active,harbor,full,heavy,11372.2744,2333.48145,R8C8,B8,B8,NE,Shorty
2629399,12b1033d-55d2-480b-a212-fb9097fee3c0,LOUD,attacker,qck1,True,active,raze,full,heavy,6222.35059,-7545.7251,R1C3,B3,B1,SW,Shorty
2629399,12b1033d-55d2-480b-a212-fb9097fee3c0,LOUD,attacker,cauanzin,True,active,breach,full,heavy,6908.30225,-6953.29834,R2C5,B5,B2,SE,Shorty
2629399,12b1033d-55d2-480b-a212-fb9097fee3c0,LOUD,attacker,Less,True,active,viper,full,heavy,8231.5957,-5912.30469,R4C8,B8,B4,SE,Vandal
2629399,3ffcbe29-e13c-4de2-8569-b8c12ea054ec,Leviatán Esports,attacker,aspas,True,active,jett,full,none,-2329.18188,-8654.28223,R2C4,B4,B2,SW,Vandal
2629399,3ffcbe29-e13c-4de2-8569-b8c12ea054ec,LOUD,defender,qck1,True,active,phoenix,full,heavy,1056.448,-7297.06201,R6C8,B8,B6,NE,Phantom
2629399,3ffcbe29-e13c-4de2-8569-b8c12ea054ec,LOUD,defender,cauanzin,True,active,breach,full,heavy,744.449951,-9317.49902,R1C8,B8,B1,SE,Phantom
2629400,99aab4a2-d4ce-4935-a0a8-f817cf9084d3,Evil Geniuses,attacker,JAWGEMO,True,active,raze,full,heavy,563.802185,-3155.16187,R2C3,B3,B2,SW,Vandal
2629400,99aab4a2-d4ce-4935-a0a8-f817cf9084d3,Evil Geniuses,attacker,Derrek,True,active,fade,full,light,-267.649231,-4769.75684,R1C1,B1,B1,SW,Shorty
2629400,99aab4a2-d4ce-4935-a0a8-f817cf9084d3,Evil Geniuses,attacker,NaturE,True,active,breach,full,heavy,720.648865,-5042.02,R1C4,B4,B1,SW,Vandal
2629400,99aab4a2-d4ce-4935-a0a8-f817cf9084d3,Evil Geniuses,attacker,supamen,True,active,omen,full,heavy,2137.81421,-5005.75928,R1C8,B8,B1,SE,Vandal
2629400,4bb219f6-8c94-4c8e-b155-3034d661d811,Evil Geniuses,attacker,supamen,True,active,viper,full,light,-6049.85449,3777.88379,R5C5,B5,B5,NE,Vandal
2629401,df33ba86-e9fe-423e-8e44-206002633674,MIBR,defender,frz,True,active,viper,full,heavy,11129.4814,2953.56885,R5C8,B8,B5,NE,Vandal
2629401,03babb80-c970-443f-a21f-f7a4370a23ad,MIBR,defender,rglmeister,True,active,omen,full,heavy,5342.75732,-7281.32861,R3C6,B6,B3,SE,Odin
2629401,03babb80-c970-443f-a21f-f7a4370a23ad,MIBR,defender,frz,True,active,cypher,full,light,5687.51514,-6464.74805,R5C7,B7,B5,NE,Phantom
2629401,03babb80-c970-443f-a21f-f7a4370a23ad,MIBR,defender,mazin,True,active,viper,full,none,6526.1958,-6909.63135,R4C8,B8,B4,SE,Vandal
2629401,03babb80-c970-443f-a21f-f7a4370a23ad,MIBR,defender,artziN,True,active,jett,full,none,5325.55078,-7173.79492,R3C6,B6,B3,SE,Shorty
2629402,d4fb7b22-a49c-4eb0-a2bc-a810a6bae585,Sentinels,attacker,Sacy,True,active,skye,damaged,none,8148.4292,-7540.54688,R2C8,B8,B2,SE,Phantom
2629402,dfc5d885-f463-49b5-b2fa-ec79a94aeb63,Leviatán Esports,defender,C0M,True,active,sova,full,light,7093.7627,-4451.4082,R2C3,B3,B2,SW,Sheriff
2629402,dfc5d885-f463-49b5-b2fa-ec79a94aeb63,Leviatán Esports,defender,kiNgg,True,active,viper,critical,none,7559.95264,-5482.22217,R1C4,B4,B1,SW,Vandal
2629402,dfc5d885-f463-49b5-b2fa-ec79a94aeb63,Leviatán Esports,defender,tex,True,active,cypher,damaged,none,6962.41797,-4402.63232,R2C2,B2,B2,SW,Vandal
2629402,522c73ea-ded3-4bec-ad61-f47017879d46,Sentinels,defender,TenZ,True,active,yoru,full,heavy,9999.36328,1209.75403,R3C1,B1,B3,SW,Vandal
2629402,522c73ea-ded3-4bec-ad61-f47017879d46,Sentinels,defender,johnqt,True,active,viper,full,heavy,12159.1094,587.806641,R1C8,B8,B1,SE,Phantom
2629402,522c73ea-ded3-4bec-ad61-f47017879d46,Sentinels,defender,zekken,True,active,raze,full,light,10520.2256,2261.05957,R6C3,B3,B6,NW,Phantom
2629402,522c73ea-ded3-4bec-ad61-f47017879d46,Sentinels,defender,Sacy,True,active,skye,full,light,10293.248,205.164337,R1C2,B2,B1,SW,Phantom
2629403,6f90ecd9-eaf6-403e-a286-b2ee7011398d,G2 Esports,attacker,neT,True,active,cypher,full,heavy,6404.95215,-4111.41406,R8C5,B5,B8,NE,Vandal
2629403,6f90ecd9-eaf6-403e-a286-b2ee7011398d,G2 Esports,attacker,leaf,True,active,raze,critical,none,7367.98535,-7210.64648,R1C7,B7,B1,SE,Vandal
2629403,6f90ecd9-eaf6-403e-a286-b2ee7011398d,G2 Esports,attacker,valyn,True,active,omen,full,heavy,8006.68311,-7354.01367,R1C8,B8,B1,SE,Vandal
2629403,6f90ecd9-eaf6-403e-a286-b2ee7011398d,G2 Esports,attacker,trent,True,active,viper,full,light,5642.00342,-7174.11475,R1C3,B3,B1,SW,Phantom
2629403,6f90ecd9-eaf6-403e-a286-b2ee7011398d,G2 Esports,attacker,JonahP,True,active,breach,full,light,6307.31,-5333.21191,R5C5,B5,B5,NE,Vandal
2629403,ce2cd253-6109-4140-bf44-8595fcc8bb9e,G2 Esports,attacker,neT,True,active,cypher,full,heavy,2650.09985,1450.61682,R7C5,B5,B7,NE,Vandal
2629403,ce2cd253-6109-4140-bf44-8595fcc8bb9e,G2 Esports,attacker,leaf,True,active,raze,full,heavy,3351.33887,2027.08557,R8C7,B7,B8,NE,Vandal
2629403,ce2cd253-6109-4140-bf44-8595fcc8bb9e,G2 Esports,attacker,valyn,True,active,omen,full,heavy,-170.624069,-4516.8584,R1C1,B1,B1,SW,Vandal
2629403,ce2cd253-6109-4140-bf44-8595fcc8bb9e,G2 Esports,attacker,trent,True,active,viper,damaged,none,79.9221802,-4916.91504,R1C1,B1,B1,SW,Vandal
2629403,ce2cd253-6109-4140-bf44-8595fcc8bb9e,G2 Esports,attacker,JonahP,True,active,sova,full,light,556.433105,-4928.08936,R1C2,B2,B1,SW,Vandal
2629405,853d7d7b-ce26-4e8a-b94a-857e06aa3b48,Evil Geniuses,attacker,JAWGEMO,True,active,jett,damaged,light,5032.97803,-6281.28906,R6C7,B7,B6,NE,Vandal
2629405,853d7d7b-ce26-4e8a-b94a-857e06aa3b48,Evil Geniuses,attacker,NaturE,True,active,kay/o,damaged,none,6001.80859,-5625.32764,R8C8,B8,B8,NE,Phantom
2629405,853d7d7b-ce26-4e8a-b94a-857e06aa3b48,Evil Geniuses,attacker,supamen,True,active,omen,full,heavy,6360.74365,-7443.58105,R2C8,B8,B2,SE,Vandal
2629405,37a34983-cc05-4f3c-9eb0-412740871f95,LOUD,defender,cauanzin,True,active,sova,damaged,none,1571.15161,-438.301788,R1C6,B6,B1,SE,Vandal
2629405,37a34983-cc05-4f3c-9eb0-412740871f95,LOUD,defender,Saadhak,True,active,killjoy,damaged,none,1342.2677,1236.71765,R8C6,B6,B8,NE,Stinger
2629405,37a34983-cc05-4f3c-9eb0-412740871f95,LOUD,defender,tuyz,True,active,harbor,full,none,1991.68823,218.668365,R4C7,B7,B4,SE,Vandal
2629405,a11f871b-5065-4e1b-be48-4c1c4243bb2e,LOUD,attacker,Saadhak,True,active,sova,full,heavy,-1738.51794,-4176.81934,R3C2,B2,B3,SW,Shorty
2629405,a11f871b-5065-4e1b-be48-4c1c4243bb2e,LOUD,attacker,Less,True,active,viper,full,heavy,-905.784485,-4748.1377,R2C4,B4,B2,SW,Vandal
2629405,a11f871b-5065-4e1b-be48-4c1c4243bb2e,LOUD,attacker,tuyz,True,active,omen,full,heavy,-1854.63684,-5281.75928,R1C2,B2,B1,SW,Vandal
2629406,6638a4db-ac35-4d4a-be20-4984d4a400c3,Sentinels,defender,TenZ,True,active,omen,full,heavy,1264.27942,4276.83887,R6C5,B5,B6,NE,Vandal
2629406,6638a4db-ac35-4d4a-be20-4984d4a400c3,Sentinels,defender,johnqt,True,active,cypher,full,heavy,2857.81201,1025.16101,R1C8,B8,B1,SE,Phantom
2629406,6638a4db-ac35-4d4a-be20-4984d4a400c3,Sentinels,defender,zekken,True,active,raze,full,heavy,2950.41064,3760.88013,R5C8,B8,B5,NE,Shorty
2629406,86427b27-9b79-42c6-b998-e7ed2a60725e,NRG,defender,Demon1,True,active,jett,full,light,-3219.82471,-7343.06934,R7C3,B3,B7,NW,Vandal
2629406,86427b27-9b79-42c6-b998-e7ed2a60725e,NRG,defender,Ethan,True,active,kay/o,full,light,-3292.03076,-7548.8457,R6C3,B3,B6,NW,Vandal
2629406,80fde6d4-c501-49d0-81dc-731205510b81,Sentinels,attacker,Sacy,True,active,skye,full,light,-3438.96948,-7078.34277,R1C1,B1,B1,SW,Phantom
2629407,a4613aad-0f74-4920-b3ae-40c580081e63,Sentinels,defender,Zellsis,True,active,kay/o,critical,none,2159.63574,4005.7063,R7C5,B5,B7,NE,Vandal
2629407,a4613aad-0f74-4920-b3ae-40c580081e63,Sentinels,defender,johnqt,True,active,cypher,damaged,none,2404.16284,4703.48779,R8C6,B6,B8,NE,Phantom
2629407,faa7baf3-d75c-4f63-a6b3-26c868e7c662,Sentinels,attacker,TenZ,True,active,omen,critical,none,3854.87036,-7461.0752,R3C5,B5,B3,SE,Vandal
2629407,faa7baf3-d75c-4f63-a6b3-26c868e7c662,Sentinels,attacker,Zellsis,True,active,viper,full,heavy,3752.73755,-7798.38525,R2C5,B5,B2,SE,Phantom
2629407,faa7baf3-d75c-4f63-a6b3-26c868e7c662,Sentinels,attacker,johnqt,True,active,cypher,full,heavy,4055.44873,-7470.10645,R3C5,B5,B3,SE,Vandal
2629407,faa7baf3-d75c-4f63-a6b3-26c868e7c662,Sentinels,attacker,zekken,True,active,raze,damaged,light,5257.99707,-8459.5127,R1C6,B6,B1,SE,Vandal
2629407,a0a0082a-6771-4599-9ed3-35cbf9c92f03,LOUD,defender,qck1,True,active,jett,full,heavy,1711.82483,3447.90503,R7C7,B7,B7,NE,Shorty
2629407,a0a0082a-6771-4599-9ed3-35cbf9c92f03,LOUD,defender,cauanzin,True,active,sova,full,heavy,1798.18811,1801.52588,R4C7,B7,B4,SE,Shorty
2629407,a0a0082a-6771-4599-9ed3-35cbf9c92f03,LOUD,defender,Saadhak,True,active,killjoy,damaged,none,-480.149658,1634.72839,R4C4,B4,B4,SW,Shorty
2629407,a0a0082a-6771-4599-9ed3-35cbf9c92f03,LOUD,defender,Less,True,active,viper,full,heavy,-1125.08728,3741.05518,R7C3,B3,B7,NW,Vandal
2629407,a0a0082a-6771-4599-9ed3-35cbf9c92f03,LOUD,defender,tuyz,True,active,harbor,full,heavy,1484.65686,4398.19287,R8C7,B7,B8,NE,Vandal
2629407,81d822bb-688b-4dae-9a8e-52fe30bda288,LOUD,defender,qck1,True,active,phoenix,damaged,none,8972.82617,-1793.14246,R2C1,B1,B2,SW,Vandal
2629407,81d822bb-688b-4dae-9a8e-52fe30bda288,LOUD,defender,Saadhak,True,active,kay/o,damaged,none,9434.07617,664.417725,R5C2,B2,B5,NW,Phantom
2629407,81d822bb-688b-4dae-9a8e-52fe30bda288,LOUD,defender,Less,True,active,viper,full,light,10023.6543,2108.49146,R7C3,B3,B7,NW,Melee
2629407,81d822bb-688b-4dae-9a8e-52fe30bda288,LOUD,defender,tuyz,True,active,brimstone,full,light,10416.7812,2516.58911,R8C4,B4,B8,NW,Phantom
2629407,acd6fecd-ec7a-49a7-830e-8f57372cadc1,Sentinels,defender,zekken,True,active,raze,critical,none,7429.81592,6468.59668,R8C6,B6,B8,NE,Phantom
2629407,acd6fecd-ec7a-49a7-830e-8f57372cadc1,LOUD,attacker,tuyz,True,active,omen,critical,none,7267.90771,6190.60498,R8C5,B5,B8,NE,Vandal
2637961,ffc0ba07-4f35-4b88-adfe-0838d93b8ab0,Sentinels,attacker,TenZ,True,active,omen,full,none,7532.61084,-7854.54492,R1C8,B8,B1,SE,Vandal
2637961,ffc0ba07-4f35-4b88-adfe-0838d93b8ab0,Sentinels,attacker,Zellsis,True,active,viper,critical,none,5911.87549,-6113.23242,R5C6,B6,B5,NE,Spike
2637961,1abd393e-d7ce-4295-9187-aac9afcfa36d,Sentinels,attacker,Zellsis,True,active,kay/o,full,light,-4235.86572,-8039.86865,R1C1,B1,B1,SW,Phantom
2637961,1abd393e-d7ce-4295-9187-aac9afcfa36d,Sentinels,attacker,zekken,True,active,jett,damaged,none,-2472.51392,-7310.39746,R2C3,B3,B2,SW,Phantom
2637961,1abd393e-d7ce-4295-9187-aac9afcfa36d,Sentinels,attacker,Sacy,True,active,sova,damaged,none,1292.87427,-5662.88379,R6C8,B8,B6,NE,Odin
2637962,d8ce4d0c-a413-4de3-85a4-98a163263097,MIBR,defender,frz,True,active,cypher,damaged,none,492.740723,-4633.62305,R1C2,B2,B1,SW,Melee
2637962,d8ce4d0c-a413-4de3-85a4-98a163263097,MIBR,defender,mazin,True,active,viper,full,heavy,594.137878,-4101.03467,R1C2,B2,B1,SW,Vandal
2637962,0d425d58-8e66-43bb-85a2-aeacf5201bd7,G2 Esports,attacker,neT,True,active,cypher,critical,none,-2845.02856,-4403.57275,R8C1,B1,B8,NW,Vandal
2637962,0d425d58-8e66-43bb-85a2-aeacf5201bd7,G2 Esports,attacker,leaf,True,active,raze,full,heavy,-2934.01392,-7602.53613,R1C1,B1,B1,SW,Vandal
2637962,0d425d58-8e66-43bb-85a2-aeacf5201bd7,G2 Esports,attacker,JonahP,True,active,breach,full,heavy,-1618.37097,-7054.17871,R2C5,B5,B2,SE,Vandal
2637962,25e62ce7-8bbf-421e-a271-d48bec974668,MIBR,defender,mazin,True,active,kay/o,full,heavy,9301.9707,-3372.26733,R3C8,B8,B3,SE,Vandal
2637962,25e62ce7-8bbf-421e-a271-d48bec974668,MIBR,defender,jzz,True,active,sova,full,heavy,2921.77856,-4688.99707,R1C1,B1,B1,SW,Vandal
2637963,2a7bec4a-4f98-41f5-a71f-65b436402d82,Sentinels,defender,zekken,True,active,raze,full,heavy,1975.49146,3442.00562,R5C5,B5,B5,NE,Phantom
2637963,2a7bec4a-4f98-41f5-a71f-65b436402d82,G2 Esports,attacker,leaf,True,active,raze,full,light,1874.00513,2245.29517,R1C5,B5,B1,SE,Vandal
2637963,2a7bec4a-4f98-41f5-a71f-65b436402d82,G2 Esports,attacker,JonahP,True,active,sova,full,light,112.575294,2636.32056,R2C1,B1,B2,SW,Melee
2637963,912fccf9-db18-4fa5-9807-b1ab9ace1e8d,Sentinels,attacker,Zellsis,True,active,viper,full,heavy,3056.57983,5094.31152,R5C2,B2,B5,NW,Phantom
